epoch,lr,t_l,v_3d,walking3d80,walking3d160,walking3d320,walking3d400,eating3d80,eating3d160,eating3d320,eating3d400,smoking3d80,smoking3d160,smoking3d320,smoking3d400,discussion3d80,discussion3d160,discussion3d320,discussion3d400,directions3d80,directions3d160,directions3d320,directions3d400,greeting3d80,greeting3d160,greeting3d320,greeting3d400,phoning3d80,phoning3d160,phoning3d320,phoning3d400,posing3d80,posing3d160,posing3d320,posing3d400,purchases3d80,purchases3d160,purchases3d320,purchases3d400,sitting3d80,sitting3d160,sitting3d320,sitting3d400,sittingdown3d80,sittingdown3d160,sittingdown3d320,sittingdown3d400,takingphoto3d80,takingphoto3d160,takingphoto3d320,takingphoto3d400,waiting3d80,waiting3d160,waiting3d320,waiting3d400,walkingdog3d80,walkingdog3d160,walkingdog3d320,walkingdog3d400,walkingtogether3d80,walkingtogether3d160,walkingtogether3d320,walkingtogether3d400
11,0.0004076863,18.1796612362,15.4119059736,10.6657829285,17.9842376709,31.4514198303,35.5537643433,8.6389045715,18.5314445496,38.6334190369,46.6683425903,7.8328409195,14.8891458511,26.2011299133,31.4024410248,10.9551372528,24.0844573975,42.0983543396,46.4934806824,13.0976524353,25.469871521,51.3827209473,61.6824226379,15.7017812729,31.6855297089,73.1662139893,89.393913269,12.0929031372,20.2932243347,37.997844696,43.0034065247,10.5474433899,26.0141506195,68.1985473633,83.8148956299,20.2423610687,39.3311347961,60.2884712219,68.1797637939,11.370847702,26.0700969696,53.1913414001,63.912689209,11.4111213684,28.131477356,58.92993927,70.2220916748,7.6493577957,17.0934524536,42.4267501831,54.4793434143,10.1768989563,23.1939048767,59.9604225159,76.5175476074,32.4551124573,59.4750747681,101.5369262695,119.2601318359,9.1914749146,19.6659126282,36.0188293457,44.3381614685
12,0.0003913789,18.0824365017,15.2308449005,9.6681394577,16.9311733246,30.0386810303,33.8392028809,8.4963035583,18.7266616821,38.5159339905,45.7797927856,7.5167427063,14.5822620392,26.0698108673,31.2233047485,10.7214412689,24.1308994293,43.5680236816,48.0991897583,12.9584178925,24.8442192078,49.0408477783,59.9126167297,15.196056366,30.4686985016,71.2389831543,87.6044311523,12.3775081635,20.8339385986,38.7337417603,43.3854293823,10.0684833527,25.422706604,67.9393920898,84.1570281982,19.5162010193,38.228012085,58.4874801636,66.5367736816,11.2098684311,25.7542629242,51.3660011292,61.4022483826,10.7356567383,28.0294818878,57.5226898193,67.6221160889,7.167963028,16.3349227905,41.5873260498,53.5540847778,9.3896341324,22.5698699951,58.0047950745,74.5181350708,31.8492012024,58.9165611267,103.2258758545,122.9043579102,9.5087947845,20.0825767517,36.9920005798,45.105178833
13,0.0003913789,18.0034913842,15.3166506599,9.7538852692,16.6568832397,29.9666099548,34.7495651245,8.6710414886,18.5773277283,38.8814811707,46.31615448,7.6228809357,14.2641353607,25.41015625,30.2929115295,10.4523696899,23.321395874,41.9061851501,46.9672012329,13.0732860565,25.9106998444,51.1323852539,61.7181015015,14.5400409698,29.6366691589,70.5041275024,87.1851730347,12.0304203033,20.4045829773,38.8663291931,43.9422683716,9.3878421783,24.2796211243,66.6365890503,82.9862060547,19.8608016968,38.469619751,58.9115219116,67.2351150513,11.7399787903,26.9190406799,53.568649292,64.2177886963,10.9019203186,26.9339046478,56.3764038086,67.7966156006,7.430434227,16.7959423065,41.9776000977,53.6741485596,9.4895563126,21.7907600403,58.758518219,75.8384399414,31.2199478149,58.1201477051,104.5682296753,123.7253417969,9.4574203491,19.4554748535,36.7185554504,44.47265625
14,0.0003757237,17.9082919666,15.1851040089,10.041882515,17.3034038544,31.0881175995,34.401058197,8.0151185989,17.4208984375,36.8109855652,44.2610168457,7.7149825096,14.7082777023,25.7966995239,31.0189170837,10.8525400162,24.0279350281,42.325378418,46.8762588501,13.008234024,25.4435119629,50.4530105591,60.5692863464,15.2185497284,30.108341217,70.8181915283,87.3409118652,12.0483970642,20.7578086853,38.1769065857,43.1025238037,9.5268239975,24.2123680115,66.8444824219,83.0630645752,19.8557834625,38.6757049561,60.0867576599,68.6139831543,11.0432376862,25.4479904175,50.9625091553,61.0673751831,10.9427051544,26.8545036316,55.4124069214,66.3469848633,7.4242062569,16.7208976746,42.3626708984,53.9997787476,9.656293869,22.2016010284,58.8188362122,76.7360916138,31.7393856049,58.2664527893,101.7091369629,120.323638916,9.9040279388,19.9021282196,37.0424957275,45.2865867615
15,0.0003757237,17.8533595336,15.4742899251,10.016371727,17.8924369812,32.0879440308,35.4996643066,9.1875114441,19.2420158386,39.6312713623,47.7440109253,7.9188165665,15.5455856323,26.9585723877,31.7067871094,10.4418926239,23.8210315704,42.528465271,47.3863220215,13.1740112305,25.3389091492,50.3454551697,61.4315490723,15.7113704681,32.5038604736,75.091293335,91.4075698853,11.8380355835,21.0424728394,40.8412132263,45.8586196899,9.9120635986,25.2059631348,67.6332702637,83.3049163818,19.7765083313,38.8354873657,59.2475814819,68.0424346924,11.115899086,26.008026123,52.7271347046,62.6335296631,11.391579628,28.4873733521,58.0631103516,69.2492675781,7.6993093491,17.0293693542,42.1333351135,54.1658554077,9.6264629364,22.4929885864,60.3196640015,77.1331481934,31.8152828217,59.1212387085,102.6659011841,121.4697723389,9.5172691345,19.509853363,37.3469696045,45.2190361023
16,0.0003606948,17.7740651762,15.231105572,9.7193660736,16.8907337189,30.7311401367,35.2756500244,8.4032020569,17.7947502136,37.8316802979,45.3861618042,7.5070838928,14.0117444992,24.6132831573,29.7602443695,11.3568372726,25.1050949097,43.1707801819,47.5613250732,13.0968418121,25.9701099396,50.8372192383,61.5205383301,15.0753192902,30.7201957703,71.8528060913,87.9997634888,12.2009086609,21.2852554321,38.5123748779,43.6376342773,9.6015520096,24.8552265167,67.7182922363,84.0729751587,20.1937427521,39.6611633301,62.2318725586,71.243927002,11.0924415588,25.5924415588,52.0789604187,62.6935348511,10.942358017,26.6901664734,55.4070968628,66.8947601318,7.3505601883,16.7527942657,42.5025177002,54.2226791382,10.2935066223,22.9002952576,58.569229126,75.803276062,32.956577301,59.8555259705,103.4708938599,121.8515167236,9.8814086914,20.129108429,37.6259460449,45.7385025024
17,0.0003606948,17.720044021,15.0271981568,9.7645664215,16.5373325348,28.9823684692,32.4241867065,8.4131784439,17.8379249573,37.1194229126,45.4854812622,7.5515727997,14.7025613785,26.4469661713,31.1919326782,10.5642585754,23.5020942688,41.1808624268,44.7623443604,13.0102958679,25.3518829346,50.2585868835,61.9269752502,15.2414169312,30.1868438721,71.0353927612,87.5173873901,11.8005542755,20.6013450623,38.2716331482,43.265083313,9.6176242828,24.6586341858,67.6147384644,83.7974624634,19.8370895386,38.8185539246,60.260684967,68.5547027588,10.7529792786,25.125120163,52.2340621948,63.4062843323,11.0704536438,26.8903217316,55.5668411255,67.2632751465,7.2405118942,15.4423007965,39.5425186157,51.056350708,9.8222293854,22.4752502441,57.7170219421,74.452041626,32.5878372192,59.1473579407,103.4496688843,123.2367706299,9.1762714386,19.0238780975,36.388885498,45.0645294189
18,0.000346267,17.6637915048,15.0835060056,9.7333145142,16.8011474609,29.6220817566,33.1286659241,8.4419841766,18.419593811,38.3851051331,46.3497619629,7.6153936386,14.457326889,26.0312252045,31.3108730316,10.2644176483,22.8837547302,40.6784286499,45.5718383789,13.0877285004,25.5812225342,49.3016738892,60.0020980835,15.1161308289,30.330821991,72.1416625977,88.6569747925,11.6388454437,20.1976776123,38.0955505371,42.9234848022,9.3094921112,24.0596046448,66.4331970215,82.1865997314,19.5467834473,38.8510780334,62.8070907593,72.4755249023,11.0787000656,25.3502559662,51.7365760803,62.5335235596,10.8507881165,27.3784065247,56.5683364868,67.5949630737,7.0460968018,15.9413108826,41.8063964844,53.3812599182,9.5334300995,22.0916557312,58.0806922913,75.1423187256,31.3976173401,57.7280654907,101.1967926025,120.5995330811,9.3256568909,19.205406189,35.9974060059,43.372177124
19,0.000346267,17.6215204156,15.2193271055,9.9021282196,16.8830947876,28.1442489624,31.4143047333,8.5759630203,18.2335014343,37.7036743164,45.3109207153,7.5180015564,14.1770200729,24.8855342865,29.6991157532,10.524846077,23.5496749878,40.8563461304,44.7964019775,13.0717658997,25.1775741577,49.8201828003,60.5737304688,15.0867156982,30.4073200226,72.2711410522,88.1723480225,11.8854980469,20.3964576721,38.6668510437,43.8890533447,9.5904283524,24.5396499634,66.4496612549,82.3785171509,19.7599506378,38.7505264282,60.3443984985,68.6567382813,11.1738471985,25.8266849518,52.4554367065,62.780040741,11.1925678253,27.8680992126,57.2524223328,68.1869659424,7.3590559959,15.5293197632,38.3682556152,49.6889038086,9.4848775864,21.9218730927,58.0638122559,74.7852096558,31.8999557495,58.5292434692,101.9270095825,121.1881027222,9.6538562775,19.6188430786,37.282043457,45.0713577271
20,0.0003324163,17.5496449145,15.1038409962,9.7825393677,16.7767467499,29.5402679443,33.5446968079,8.7793159485,18.4364261627,38.5502624512,45.6757774353,7.4508752823,14.3845767975,25.2371368408,30.4246940613,10.6113643646,23.8884010315,42.3584213257,46.8566551208,12.5777101517,24.9058456421,49.9700622559,59.8672142029,14.1711654663,29.4927711487,71.6267089844,87.1775283813,12.2335338593,20.5850391388,37.8051605225,42.603729248,9.6029033661,24.3847236633,66.3082122803,82.3612518311,19.903793335,39.4387283325,62.6596298218,71.7722473145,10.8378992081,24.6053104401,49.8989181519,60.783821106,10.7028303146,26.818529129,56.7653274536,69.3349914551,7.2077121735,16.4202384949,41.4985427856,53.2758178711,9.4921560287,21.5504188538,55.3017044067,72.6921844482,30.452381134,56.957649231,102.8369216919,122.9541702271,9.0990791321,18.527765274,36.337436676,44.4165802002
